Iteration	CPUTime	PhysTime	Travels
1	22	0	0.00860273793
2	23	0	0.0172054759
3	23	0	0.0258082138
4	24	0	0.0344109517
5	25	0	0.0430136897
6	26	0	0.0516164276
7	26	0	0.0602191655
8	27	0	0.0688219035
9	28	0	0.0774246414
10	28	0	0.0860273793
11	29	0	0.0946301173
12	30	0	0.103232855
13	30	0	0.111835593
14	31	0	0.120438331
15	31	0	0.129041069
16	32	0	0.137643807
17	33	0	0.146246545
18	33	0	0.154849283
19	34	0	0.163452021
20	34	0	0.172054759
21	35	0	0.180657497
22	36	0	0.189260235
23	36	0	0.197862972
24	37	0	0.20646571
25	38	0	0.215068448
26	38	0	0.223671186
27	39	0	0.232273924
28	40	0	0.240876662
29	40	0	0.2494794
30	41	0	0.258082138
31	42	0	0.266684876
32	42	0	0.275287614
33	43	0	0.283890352
34	44	0	0.29249309
35	44	0	0.301095828
36	45	0	0.309698566
37	46	0	0.318301304
38	46	0	0.326904042
39	47	0	0.335506779
40	48	0	0.344109517
41	48	0	0.352712255
42	49	0	0.361314993
43	50	0	0.369917731
44	51	0	0.378520469
45	51	0	0.387123207
46	52	0	0.395725945
47	53	0	0.404328683
48	54	0	0.412931421
49	54	0	0.421534159
50	55	0	0.430136897
51	56	0	0.438739635
52	57	0	0.447342373
53	57	0	0.455945111
54	58	0	0.464547848
55	59	0	0.473150586
56	60	0	0.481753324
57	60	0	0.490356062
58	61	0	0.4989588
59	61	0	0.507561538
60	62	0	0.516164276
61	63	0	0.524767014
62	64	0	0.533369752
63	64	0	0.54197249
64	65	0	0.550575228
65	65	0	0.559177966
66	66	0	0.567780704
67	67	0	0.576383442
68	68	0	0.58498618
69	68	0	0.593588917
70	69	0	0.602191655
71	70	0	0.610794393
72	70	0	0.619397131
73	71	0	0.627999869
74	72	0	0.636602607
75	72	0	0.645205345
76	73	0	0.653808083
77	74	0	0.662410821
78	74	0	0.671013559
79	75	0	0.679616297
80	76	0	0.688219035
81	76	0	0.696821773
82	77	0	0.705424511
83	77	0	0.714027249
84	78	0	0.722629987
85	79	0	0.731232724
86	79	0	0.739835462
87	80	0	0.7484382
88	81	0	0.757040938
89	81	0	0.765643676
90	82	0	0.774246414
91	83	0	0.782849152
92	83	0	0.79145189
93	84	0	0.800054628
94	85	0	0.808657366
95	85	0	0.817260104
96	86	0	0.825862842
97	87	0	0.83446558
98	87	0	0.843068318
99	88	0	0.851671056
100	88	0	0.860273793
101	89	0	0.868876531
102	90	0	0.877479269
103	91	0	0.886082007
104	91	0	0.894684745
105	92	0	0.903287483
106	93	0	0.911890221
107	93	0	0.920492959
108	94	0	0.929095697
109	94	0	0.937698435
110	95	0	0.946301173
111	96	0	0.954903911
112	97	0	0.963506649
113	97	0	0.972109387
114	98	0	0.980712125
115	98	0	0.989314862
116	99	0	0.9979176
117	100	0	1.00652034
118	100	0	1.01512308
119	101	0	1.02372581
120	102	0	1.03232855
121	102	0	1.04093129
122	103	0	1.04953403
123	104	0	1.05813677
124	105	0	1.0667395
125	105	0	1.07534224
126	106	0	1.08394498
127	107	0	1.09254772
128	107	0	1.10115046
129	108	0	1.10975319
130	109	0	1.11835593
131	110	0	1.12695867
132	110	0	1.13556141
133	111	0	1.14416415
134	112	0	1.15276688
135	112	0	1.16136962
136	113	0	1.16997236
137	114	0	1.1785751
138	114	0	1.18717783
139	115	0	1.19578057
140	116	0	1.20438331
141	117	0	1.21298605
142	117	0	1.22158879
143	118	0	1.23019152
144	119	0	1.23879426
145	120	0	1.247397
146	121	0	1.25599974
147	121	0	1.26460248
148	122	0	1.27320521
149	123	0	1.28180795
150	123	0	1.29041069
151	124	0	1.29901343
152	125	0	1.30761617
153	125	0	1.3162189
154	126	0	1.32482164
155	127	0	1.33342438
156	128	0	1.34202712
157	128	0	1.35062986
158	129	0	1.35923259
159	130	0	1.36783533
160	131	0	1.37643807
161	131	0	1.38504081
162	132	0	1.39364355
163	133	0	1.40224628
164	134	0	1.41084902
165	135	0	1.41945176
166	136	0	1.4280545
167	137	0	1.43665724
168	138	0	1.44525997
169	139	0	1.45386271
170	140	0	1.46246545
171	140	0	1.47106819
172	141	0	1.47967092
173	142	0	1.48827366
174	143	0	1.4968764
175	144	0	1.50547914
176	145	0	1.51408188
177	146	0	1.52268461
178	146	0	1.53128735
179	147	0	1.53989009
180	148	0	1.54849283
181	149	0	1.55709557
182	150	0	1.5656983
183	150	0	1.57430104
184	151	0	1.58290378
185	152	0	1.59150652
186	153	0	1.60010926
187	154	0	1.60871199
188	154	0	1.61731473
189	155	0	1.62591747
190	156	0	1.63452021
191	157	0	1.64312295
192	157	0	1.65172568
193	158	0	1.66032842
194	159	0	1.66893116
195	159	0	1.6775339
196	160	0	1.68613664
197	161	0	1.69473937
198	162	0	1.70334211
199	163	0	1.71194485
200	163	0	1.72054759
201	164	0	1.72915032
202	165	0	1.73775306
203	166	0	1.7463558
204	166	0	1.75495854
205	167	0	1.76356128
206	168	0	1.77216401
207	168	0	1.78076675
208	169	0	1.78936949
209	170	0	1.79797223
210	170	0	1.80657497
211	171	0	1.8151777
212	172	0	1.82378044
213	173	0	1.83238318
214	174	0	1.84098592
215	174	0	1.84958866
216	175	0	1.85819139
217	175	0	1.86679413
218	176	0	1.87539687
219	177	0	1.88399961
220	178	0	1.89260235
221	178	0	1.90120508
222	179	0	1.90980782
223	180	0	1.91841056
224	180	0	1.9270133
225	181	0	1.93561604
226	182	0	1.94421877
227	183	0	1.95282151
228	183	0	1.96142425
229	184	0	1.97002699
230	185	0	1.97862972
231	186	0	1.98723246
232	187	0	1.9958352
233	187	0	2.00443794
234	188	0	2.01304068
235	189	0	2.02164341
236	189	0	2.03024615
237	190	0	2.03884889
238	191	0	2.04745163
239	191	0	2.05605437
240	192	0	2.0646571
241	193	0	2.07325984
242	193	0	2.08186258
243	194	0	2.09046532
244	195	0	2.09906806
245	195	0	2.10767079
246	196	0	2.11627353
247	197	0	2.12487627
248	198	0	2.13347901
249	198	0	2.14208175
250	199	0	2.15068448
251	200	0	2.15928722
252	201	0	2.16788996
253	202	0	2.1764927
254	202	0	2.18509544
255	203	0	2.19369817
256	204	0	2.20230091
257	205	0	2.21090365
258	206	0	2.21950639
259	206	0	2.22810913
260	207	0	2.23671186
261	208	0	2.2453146
262	209	0	2.25391734
263	209	0	2.26252008
264	210	0	2.27112281
265	211	0	2.27972555
266	212	0	2.28832829
267	212	0	2.29693103
268	213	0	2.30553377
269	214	0	2.3141365
270	214	0	2.32273924
271	215	0	2.33134198
272	216	0	2.33994472
273	216	0	2.34854746
274	217	0	2.35715019
275	218	0	2.36575293
276	219	0	2.37435567
277	219	0	2.38295841
278	220	0	2.39156115
279	221	0	2.40016388
280	221	0	2.40876662
281	222	0	2.41736936
282	223	0	2.4259721
283	223	0	2.43457484
284	224	0	2.44317757
285	225	0	2.45178031
286	225	0	2.46038305
287	226	0	2.46898579
288	227	0	2.47758853
289	227	0	2.48619126
290	228	0	2.494794
291	229	0	2.50339674
292	229	0	2.51199948
293	230	0	2.52060221
294	231	0	2.52920495
295	231	0	2.53780769
296	232	0	2.54641043
297	233	0	2.55501317
298	234	0	2.5636159
299	234	0	2.57221864
300	235	0	2.58082138
301	236	0	2.58942412
302	237	0	2.59802686
303	237	0	2.60662959
304	238	0	2.61523233
305	239	0	2.62383507
306	239	0	2.63243781
307	240	0	2.64104055
308	241	0	2.64964328
309	241	0	2.65824602
310	242	0	2.66684876
311	243	0	2.6754515
312	243	0	2.68405424
313	244	0	2.69265697
314	245	0	2.70125971
315	245	0	2.70986245
316	246	0	2.71846519
317	247	0	2.72706793
318	248	0	2.73567066
319	249	0	2.7442734
320	249	0	2.75287614
321	250	0	2.76147888
322	251	0	2.77008161
323	252	0	2.77868435
324	252	0	2.78728709
325	253	0	2.79588983
326	254	0	2.80449257
327	254	0	2.8130953
328	255	0	2.82169804
329	256	0	2.83030078
330	256	0	2.83890352
331	257	0	2.84750626
332	258	0	2.85610899
333	258	0	2.86471173
334	259	0	2.87331447
335	260	0	2.88191721
336	261	0	2.89051995
337	261	0	2.89912268
338	262	0	2.90772542
339	263	0	2.91632816
340	263	0	2.9249309
341	264	0	2.93353364
342	265	0	2.94213637
343	265	0	2.95073911
344	266	0	2.95934185
345	267	0	2.96794459
346	267	0	2.97654733
347	268	0	2.98515006
348	269	0	2.9937528
349	270	0	3.00235554
350	270	0	3.01095828
351	271	0	3.01956102
352	272	0	3.02816375
353	272	0	3.03676649
354	273	0	3.04536923
355	274	0	3.05397197
356	274	0	3.0625747
357	275	0	3.07117744
358	276	0	3.07978018
359	277	0	3.08838292
360	277	0	3.09698566
361	278	0	3.10558839
362	279	0	3.11419113
363	280	0	3.12279387
364	280	0	3.13139661
365	281	0	3.13999935
366	282	0	3.14860208
367	283	0	3.15720482
368	283	0	3.16580756
369	284	0	3.1744103
370	285	0	3.18301304
371	286	0	3.19161577
372	286	0	3.20021851
373	287	0	3.20882125
374	288	0	3.21742399
375	288	0	3.22602673
376	289	0	3.23462946
377	290	0	3.2432322
378	290	0	3.25183494
379	291	0	3.26043768
380	292	0	3.26904042
381	292	0	3.27764315
382	293	0	3.28624589
383	294	0	3.29484863
384	294	0	3.30345137
385	295	0	3.3120541
386	296	0	3.32065684
387	297	0	3.32925958
388	297	0	3.33786232
389	298	0	3.34646506
390	299	0	3.35506779
391	299	0	3.36367053
392	300	0	3.37227327
393	301	0	3.38087601
394	301	0	3.38947875
395	302	0	3.39808148
396	303	0	3.40668422
397	304	0	3.41528696
398	304	0	3.4238897
399	305	0	3.43249244
400	306	0	3.44109517
401	307	0	3.44969791
402	308	0	3.45830065
403	308	0	3.46690339
404	309	0	3.47550613
405	310	0	3.48410886
406	310	0	3.4927116
407	311	0	3.50131434
408	312	0	3.50991708
409	313	0	3.51851982
410	313	0	3.52712255
411	314	0	3.53572529
412	315	0	3.54432803
413	316	0	3.55293077
414	316	0	3.5615335
415	317	0	3.57013624
416	318	0	3.57873898
417	318	0	3.58734172
418	319	0	3.59594446
419	320	0	3.60454719
420	321	0	3.61314993
421	321	0	3.62175267
422	322	0	3.63035541
423	323	0	3.63895815
424	323	0	3.64756088
425	324	0	3.65616362
426	325	0	3.66476636
427	325	0	3.6733691
428	326	0	3.68197184
429	327	0	3.69057457
430	327	0	3.69917731
431	328	0	3.70778005
432	329	0	3.71638279
433	330	0	3.72498553
434	330	0	3.73358826
435	331	0	3.742191
436	332	0	3.75079374
437	332	0	3.75939648
438	333	0	3.76799922
439	334	0	3.77660195
440	334	0	3.78520469
441	335	0	3.79380743
442	336	0	3.80241017
443	336	0	3.81101291
444	337	0	3.81961564
445	338	0	3.82821838
446	338	0	3.83682112
447	339	0	3.84542386
448	340	0	3.85402659
449	340	0	3.86262933
450	341	0	3.87123207
451	342	0	3.87983481
452	342	0	3.88843755
453	343	0	3.89704028
454	344	0	3.90564302
455	344	0	3.91424576
456	345	0	3.9228485
457	346	0	3.93145124
458	347	0	3.94005397
459	347	0	3.94865671
460	348	0	3.95725945
461	349	0	3.96586219
462	349	0	3.97446493
463	350	0	3.98306766
464	351	0	3.9916704
465	351	0	4.00027314
466	352	0	4.00887588
467	353	0	4.01747862
468	354	0	4.02608135
469	354	0	4.03468409
470	355	0	4.04328683
471	356	0	4.05188957
472	356	0	4.06049231
473	357	0	4.06909504
474	358	0	4.07769778
475	358	0	4.08630052
476	359	0	4.09490326
477	360	0	4.10350599
478	361	0	4.11210873
479	361	0	4.12071147
480	362	0	4.12931421
481	363	0	4.13791695
482	363	0	4.14651968
483	364	0	4.15512242
484	365	0	4.16372516
485	366	0	4.1723279
486	366	0	4.18093064
487	367	0	4.18953337
488	368	0	4.19813611
489	368	0	4.20673885
490	369	0	4.21534159
491	370	0	4.22394433
492	370	0	4.23254706
493	371	0	4.2411498
494	372	0	4.24975254
495	373	0	4.25835528
496	373	0	4.26695802
497	374	0	4.27556075
498	375	0	4.28416349
499	375	0	4.29276623
500	376	0	4.30136897
501	377	0	4.30997171
502	378	0	4.31857444
503	378	0	4.32717718
504	379	0	4.33577992
505	380	0	4.34438266
506	380	0	4.35298539
507	381	0	4.36158813
508	382	0	4.37019087
509	383	0	4.37879361
510	383	0	4.38739635
511	384	0	4.39599908
512	385	0	4.40460182
513	385	0	4.41320456
514	386	0	4.4218073
515	387	0	4.43041004
516	387	0	4.43901277
517	388	0	4.44761551
518	389	0	4.45621825
519	389	0	4.46482099
520	390	0	4.47342373
521	391	0	4.48202646
522	391	0	4.4906292
523	392	0	4.49923194
524	393	0	4.50783468
525	393	0	4.51643742
526	394	0	4.52504015
527	395	0	4.53364289
528	395	0	4.54224563
529	396	0	4.55084837
530	397	0	4.55945111
531	397	0	4.56805384
532	398	0	4.57665658
533	399	0	4.58525932
534	400	0	4.59386206
535	400	0	4.6024648
536	401	0	4.61106753
537	402	0	4.61967027
538	402	0	4.62827301
539	403	0	4.63687575
540	404	0	4.64547848
541	404	0	4.65408122
542	405	0	4.66268396
543	406	0	4.6712867
544	406	0	4.67988944
545	407	0	4.68849217
546	408	0	4.69709491
547	408	0	4.70569765
548	409	0	4.71430039
549	410	0	4.72290313
550	411	0	4.73150586
551	411	0	4.7401086
552	412	0	4.74871134
553	413	0	4.75731408
554	413	0	4.76591682
555	414	0	4.77451955
556	415	0	4.78312229
557	416	0	4.79172503
558	416	0	4.80032777
559	417	0	4.80893051
560	418	0	4.81753324
561	418	0	4.82613598
562	419	0	4.83473872
563	420	0	4.84334146
564	421	0	4.8519442
565	421	0	4.86054693
566	422	0	4.86914967
567	423	0	4.87775241
568	423	0	4.88635515
569	424	0	4.89495788
570	425	0	4.90356062
571	425	0	4.91216336
572	426	0	4.9207661
573	427	0	4.92936884
574	427	0	4.93797157
575	428	0	4.94657431
576	429	0	4.95517705
577	429	0	4.96377979
578	430	0	4.97238253
579	431	0	4.98098526
580	432	0	4.989588
581	432	0	4.99819074
582	433	0	5.00679348
583	434	0	5.01539622
584	434	0	5.02399895
585	435	0	5.03260169
586	436	0	5.04120443
587	436	0	5.04980717
588	437	0	5.05840991
589	438	0	5.06701264
590	438	0	5.07561538
591	439	0	5.08421812
592	440	0	5.09282086
593	440	0	5.1014236
594	441	0	5.11002633
595	442	0	5.11862907
596	443	0	5.12723181
597	443	0	5.13583455
598	444	0	5.14443728
599	445	0	5.15304002
600	445	0	5.16164276
601	446	0	5.1702455
602	447	0	5.17884824
603	448	0	5.18745097
604	449	0	5.19605371
605	449	0	5.20465645
606	450	0	5.21325919
607	451	0	5.22186193
608	451	0	5.23046466
609	452	0	5.2390674
610	453	0	5.24767014
611	453	0	5.25627288
612	454	0	5.26487562
613	455	0	5.27347835
614	456	0	5.28208109
615	457	0	5.29068383
616	457	0	5.29928657
617	458	0	5.30788931
618	459	0	5.31649204
619	459	0	5.32509478
620	460	0	5.33369752
621	461	0	5.34230026
622	461	0	5.350903
623	462	0	5.35950573
624	463	0	5.36810847
625	463	0	5.37671121
626	464	0	5.38531395
627	465	0	5.39391668
628	465	0	5.40251942
629	466	0	5.41112216
630	467	0	5.4197249
631	467	0	5.42832764
632	468	0	5.43693037
633	469	0	5.44553311
634	470	0	5.45413585
635	470	0	5.46273859
636	471	0	5.47134133
637	472	0	5.47994406
638	472	0	5.4885468
639	473	0	5.49714954
640	474	0	5.50575228
641	474	0	5.51435502
642	475	0	5.52295775
643	476	0	5.53156049
644	476	0	5.54016323
645	477	0	5.54876597
646	478	0	5.55736871
647	479	0	5.56597144
648	479	0	5.57457418
649	480	0	5.58317692
650	481	0	5.59177966
651	481	0	5.6003824
652	482	0	5.60898513
653	483	0	5.61758787
654	483	0	5.62619061
655	484	0	5.63479335
656	485	0	5.64339609
657	485	0	5.65199882
658	486	0	5.66060156
659	487	0	5.6692043
660	487	0	5.67780704
661	488	0	5.68640977
662	489	0	5.69501251
663	489	0	5.70361525
664	490	0	5.71221799
665	491	0	5.72082073
666	492	0	5.72942346
667	492	0	5.7380262
668	493	0	5.74662894
669	494	0	5.75523168
670	494	0	5.76383442
671	495	0	5.77243715
672	496	0	5.78103989
673	496	0	5.78964263
674	497	0	5.79824537
675	498	0	5.80684811
676	499	0	5.81545084
677	499	0	5.82405358
678	500	0	5.83265632
679	501	0	5.84125906
680	501	0	5.8498618
681	502	0	5.85846453
682	503	0	5.86706727
683	503	0	5.87567001
684	504	0	5.88427275
685	505	0	5.89287549
686	505	0	5.90147822
687	506	0	5.91008096
688	507	0	5.9186837
689	508	0	5.92728644
690	508	0	5.93588917
691	509	0	5.94449191
692	510	0	5.95309465
693	510	0	5.96169739
694	511	0	5.97030013
695	512	0	5.97890286
696	513	0	5.9875056
697	513	0	5.99610834
698	514	0	6.00471108
699	515	0	6.01331382
700	515	0	6.02191655
701	516	0	6.03051929
702	517	0	6.03912203
703	518	0	6.04772477
704	518	0	6.05632751
705	519	0	6.06493024
706	520	0	6.07353298
707	520	0	6.08213572
708	521	0	6.09073846
709	522	0	6.0993412
710	522	0	6.10794393
711	523	0	6.11654667
712	524	0	6.12514941
713	525	0	6.13375215
714	525	0	6.14235489
715	526	0	6.15095762
716	527	0	6.15956036
717	527	0	6.1681631
718	528	0	6.17676584
719	529	0	6.18536857
720	529	0	6.19397131
721	530	0	6.20257405
722	531	0	6.21117679
723	531	0	6.21977953
724	532	0	6.22838226
725	533	0	6.236985
726	533	0	6.24558774
727	534	0	6.25419048
728	535	0	6.26279322
729	535	0	6.27139595
730	536	0	6.27999869
731	537	0	6.28860143
732	538	0	6.29720417
733	538	0	6.30580691
734	539	0	6.31440964
735	540	0	6.32301238
736	540	0	6.33161512
737	541	0	6.34021786
738	542	0	6.3488206
739	542	0	6.35742333
740	543	0	6.36602607
741	544	0	6.37462881
742	544	0	6.38323155
743	545	0	6.39183429
744	546	0	6.40043702
745	547	0	6.40903976
746	547	0	6.4176425
747	548	0	6.42624524
748	549	0	6.43484798
749	549	0	6.44345071
750	550	0	6.45205345
751	551	0	6.46065619
752	551	0	6.46925893
753	552	0	6.47786166
754	553	0	6.4864644
755	553	0	6.49506714
756	554	0	6.50366988
757	555	0	6.51227262
758	555	0	6.52087535
759	556	0	6.52947809
760	557	0	6.53808083
761	558	0	6.54668357
762	558	0	6.55528631
763	559	0	6.56388904
764	560	0	6.57249178
765	560	0	6.58109452
766	561	0	6.58969726
767	562	0	6.5983
768	562	0	6.60690273
769	563	0	6.61550547
770	564	0	6.62410821
771	564	0	6.63271095
772	565	0	6.64131369
773	566	0	6.64991642
774	567	0	6.65851916
775	567	0	6.6671219
776	568	0	6.67572464
777	569	0	6.68432738
778	569	0	6.69293011
779	570	0	6.70153285
780	571	0	6.71013559
781	571	0	6.71873833
782	572	0	6.72734106
783	573	0	6.7359438
784	574	0	6.74454654
785	574	0	6.75314928
786	575	0	6.76175202
787	576	0	6.77035475
788	577	0	6.77895749
789	577	0	6.78756023
790	578	0	6.79616297
791	579	0	6.80476571
792	580	0	6.81336844
793	580	0	6.82197118
794	581	0	6.83057392
795	582	0	6.83917666
796	583	0	6.8477794
