Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	22	0	0.00860273793	0	0	0	0	0	0	0	0	0	0	0	3
2	23	0	0.0172054759	0	0	0	0	0	0	0	0	0	0	0	3
3	23	0	0.0258082138	0	0	0	0	0	0	0	0	0	0	0	3
4	24	0	0.0344109517	0	0	0	0	0	0	0	0	0	0	0	3
5	25	0	0.0430136897	0	0	0	0	0	0	0	0	0	0	0	3
6	26	0	0.0516164276	0	0	0	0	0	0	0	0	0	0	0	3
7	26	0	0.0602191655	0	0	0	0	0	0	0	0	0	0	0	3
8	27	0	0.0688219035	0	0	0	0	0	0	0	0	0	0	0	3
9	28	0	0.0774246414	0	0	0	0	0	0	0	0	0	0	0	3
10	28	0	0.0860273793	0	0	0	0	0	0	0	0	0	0	0	3
11	29	0	0.0946301173	0	0	0	0	0	0	0	0	0	0	0	3
12	30	0	0.103232855	0	0	0	0	0	0	0	0	0	0	0	3
13	30	0	0.111835593	0	0	0	0	0	0	0	0	0	0	0	3
14	31	0	0.120438331	0	0	0	0	0	0	0	0	0	0	0	3
15	31	0	0.129041069	0	0	0	0	0	0	0	0	0	0	0	3
16	32	0	0.137643807	0	0	0	0	0	0	0	0	0	0	0	3
17	33	0	0.146246545	0	0	0	0	0	0	0	0	0	0	0	3
18	33	0	0.154849283	0	0	0	0	0	0	0	0	0	0	0	3
19	34	0	0.163452021	0	0	0	0	0	0	0	0	0	0	0	3
20	34	0	0.172054759	0	0	0	0	0	0	0	0	0	0	0	3
21	35	0	0.180657497	0	0	0	0	0	0	0	0	0	0	0	3
22	36	0	0.189260235	0	0	0	0	0	0	0	0	0	0	0	3
23	36	0	0.197862972	0	0	0	0	0	0	0	0	0	0	0	3
24	37	0	0.20646571	0	0	0	0	0	0	0	0	0	0	0	3
25	38	0	0.215068448	0	0	0	0	0	0	0	0	0	0	0	3
26	38	0	0.223671186	0	0	0	0	0	0	0	0	0	0	0	3
27	39	0	0.232273924	0	0	0	0	0	0	0	0	0	0	0	3
28	40	0	0.240876662	0	0	0	0	0	0	0	0	0	0	0	3
29	40	0	0.2494794	0	0	0	0	0	0	0	0	0	0	0	3
