Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	14	0	0.00992953813	111457.5	111457.5	111457.5	111457.5	0	0	0	0	666369	0	0	3
2	15	0	0.0198590763	122603.25	117030.375	111457.5	122603.25	5572.875	0	0	0	671942	0	0	3
3	15	0	0.0297886144	134863.575	122974.775	111457.5	134863.575	11517.275	0	0	0	677235	0	0	3
4	16	0	0.0397181525	148349.933	129318.564	111457.5	148349.933	17861.0644	0	0	0	682264	0	0	3
5	17	0	0.0496476907	163184.926	136091.837	111457.5	163184.926	24634.3367	0	0	0	677305	0	0	3
6	17	0	0.0595772288	179503.418	143327.1	111457.5	179503.418	31869.6003	0	0	0	667253	0	0	3
7	17	0	0.0695067669	197453.76	151059.48	111457.5	197453.76	39601.9802	0	0	0	656196	0	0	3
8	18	0	0.0794363051	217199.136	159326.937	111457.5	217199.136	47869.4372	0	0	0	644033	0	0	3
9	18	0	0.0893658432	219904.159	166057.74	111457.5	219904.159	54600.2396	0	0	0	630653	0	0	3
10	19	0	0.0992953813	226346.005	172086.566	111457.5	226346.005	60629.0662	0	0	0	615936	0	0	3
11	19	0	0.109224919	248980.605	179076.933	111457.5	248980.605	67619.4334	0	0	0	599747	0	0	3
12	20	0	0.119154458	256541.093	185532.28	111457.5	256541.093	74074.78	0	0	0	585371	0	0	3
13	20	0	0.129083996	261156.819	191349.552	111457.5	261156.819	79892.0523	0	0	0	579096	0	0	3
14	21	0	0.139013534	257100.105	196046.02	111457.5	261156.819	84588.5203	0	0	0	578646	0	0	3
15	21	0	0.148943072	257794.411	200162.58	111457.5	261156.819	88705.0797	0	0	0	578346	0	0	3
16	21	0	0.15887261	255404.185	203615.18	111457.5	261156.819	92157.68	0	0	0	578956	0	0	3
17	22	0	0.168802148	257924.123	206809.824	111457.5	261156.819	95352.3238	0	0	0	579498	0	0	3
18	22	0	0.178731686	263212.986	209943.333	111457.5	263212.986	98485.8328	0	0	0	579681	0	0	3
