Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	20	0	0.00992953813	111457.5	111457.5	111457.5	111457.5	0	0	0	0	681568	0	0	3
2	21	0	0.0198590763	122603.25	117030.375	111457.5	122603.25	5572.875	0	0	0	686380	0	0	3
3	21	0	0.0297886144	134863.575	122974.775	111457.5	134863.575	11517.275	0	0	0	690952	0	0	3
4	22	0	0.0397181525	148349.933	129318.564	111457.5	148349.933	17861.0644	0	0	0	695295	0	0	3
5	23	0	0.0496476907	163184.926	136091.837	111457.5	163184.926	24634.3367	0	0	0	699423	0	0	3
6	24	0	0.0595772288	179503.418	143327.1	111457.5	179503.418	31869.6003	0	0	0	703343	0	0	3
7	24	0	0.0695067669	170528.247	147212.978	111457.5	179503.418	35755.4784	0	0	0	702396	0	0	3
8	25	0	0.0794363051	162001.835	149061.586	111457.5	179503.418	37604.0855	0	0	0	694853	0	0	3
9	26	0	0.0893658432	153901.743	149599.381	111457.5	179503.418	38141.8808	0	0	0	686556	0	0	3
10	26	0	0.0992953813	155806.132	150220.056	111457.5	179503.418	38762.5559	0	0	0	677429	0	0	3
11	27	0	0.109224919	171386.745	152144.3	111457.5	179503.418	40686.8004	0	0	0	676501	0	0	3
12	27	0	0.119154458	187528.347	155092.971	111457.5	187528.347	43635.471	0	0	0	677569	0	0	3
13	28	0	0.129083996	192532.018	157972.898	111457.5	192532.018	46515.3977	0	0	0	677843	0	0	3
14	29	0	0.139013534	190976.571	160330.303	111457.5	192532.018	48872.8029	0	0	0	678635	0	0	3
15	29	0	0.148943072	193430.455	162536.98	111457.5	193430.455	51079.4797	0	0	0	679025	0	0	3
16	30	0	0.15887261	193505.872	164472.536	111457.5	193505.872	53015.0355	0	0	0	678826	0	0	3
17	30	0	0.168802148	194896.709	166262.193	111457.5	194896.709	54804.6928	0	0	0	678456	0	0	3
18	31	0	0.178731686	198167.404	168034.705	111457.5	198167.404	56577.2045	0	0	0	678350	0	0	3
19	31	0	0.188661225	203123.095	169881.462	111457.5	203123.095	58423.9619	0	0	0	678679	0	0	3
20	32	0	0.198590763	209362.592	171855.518	111457.5	209362.592	60398.0184	0	0	0	678682	0	0	3
21	33	0	0.208520301	219519.155	174125.215	111457.5	219519.155	62667.7154	0	0	0	681477	0	0	3
22	33	0	0.218449839	227388.265	176546.263	111457.5	227388.265	65088.7631	0	0	0	682490	0	0	3
23	34	0	0.228379377	233429.439	179019.445	111457.5	233429.439	67561.9446	0	0	0	680919	0	0	3
24	34	0	0.238308915	238973.71	181517.539	111457.5	238973.71	70060.039	0	0	0	682177	0	0	3
25	35	0	0.248238453	243862.597	184011.341	111457.5	243862.597	72553.8413	0	0	0	683542	0	0	3
26	35	0	0.258167991	250661.912	186574.825	111457.5	250661.912	75117.3248	0	0	0	684130	0	0	3
27	36	0	0.26809753	256820.191	189176.505	111457.5	256820.191	77719.005	0	0	0	684408	0	0	3
28	36	0	0.278027068	262411.534	191792.042	111457.5	262411.534	80334.5418	0	0	0	684881	0	0	3
29	37	0	0.287956606	267690.074	194409.215	111457.5	267690.074	82951.7153	0	0	0	685920	0	0	3
30	37	0	0.297886144	272369.59	197007.894	111457.5	272369.59	85550.3945	0	0	0	687566	0	0	3
31	38	0	0.307815682	278478.16	199635.968	111457.5	278478.16	88178.4676	0	0	0	688738	0	0	3
32	38	0	0.31774522	283824.283	202266.852	111457.5	283824.283	90809.3524	0	0	0	689771	0	0	3
33	39	0	0.327674758	288001.963	204864.886	111457.5	288001.963	93407.3861	0	0	0	690624	0	0	3
34	39	0	0.337604297	291380.822	207409.472	111457.5	291380.822	95951.9724	0	0	0	691292	0	0	3
35	40	0	0.347533835	293693.637	209874.734	111457.5	293693.637	98417.2343	0	0	0	691763	0	0	3
36	41	0	0.357463373	295262.157	212246.607	111457.5	295262.157	100789.107	0	0	0	691968	0	0	3
37	41	0	0.367392911	295681.668	214501.609	111457.5	295681.668	103044.109	0	0	0	691837	0	0	3
38	42	0	0.377322449	295365.185	216629.598	111457.5	295681.668	105172.098	0	0	0	691398	0	0	3
39	42	0	0.387251987	294484.769	218625.884	111457.5	295681.668	107168.384	0	0	0	692290	0	0	3
40	43	0	0.397181525	293199.813	220490.232	111457.5	295681.668	109032.732	0	0	0	693708	0	0	3
41	43	0	0.407111063	290816.941	222205.518	111457.5	295681.668	110748.018	0	0	0	695051	0	0	3
42	44	0	0.417040602	288385.755	223781.238	111457.5	295681.668	112323.738	0	0	0	696255	0	0	3
43	44	0	0.42697014	286183.19	225232.446	111457.5	295681.668	113774.946	0	0	0	697350	0	0	3
44	45	0	0.436899678	284324.034	226575.437	111457.5	295681.668	115117.937	0	0	0	698382	0	0	3
45	45	0	0.446829216	282729.89	227823.313	111457.5	295681.668	116365.813	0	0	0	699330	0	0	3
46	46	0	0.456758754	281451.126	228989.135	111457.5	295681.668	117531.635	0	0	0	700185	0	0	3
47	47	0	0.466688292	280310.538	230081.08	111457.5	295681.668	118623.58	0	0	0	700940	0	0	3
48	47	0	0.47661783	279286.214	231106.187	111457.5	295681.668	119648.687	0	0	0	701603	0	0	3
