Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	18	0	0.00992953813	105895.442	105895.442	105895.442	105895.442	0	0	0	0	438686	0	0	3
2	19	0	0.0198590763	112032.348	108963.895	105895.442	112032.348	3068.45283	0	0	0	438331	0	0	3
3	19	0	0.0297886144	109865.288	109264.359	105895.442	112032.348	3368.9173	0	0	0	438450	0	0	3
4	20	0	0.0397181525	106059.368	108463.112	105895.442	112032.348	3368.9173	0	0	0	438492	0	0	3
5	20	0	0.0496476907	101927.869	107156.063	101927.869	112032.348	3368.9173	0	0	0	438377	0	0	3
6	21	0	0.0595772288	97946.3984	105621.119	97946.3984	112032.348	3643.24051	0	0	0	438829	0	0	3
7	21	0	0.0695067669	94054.6039	103968.76	94054.6039	112032.348	5295.5998	0	0	0	438784	0	0	3
8	22	0	0.0794363051	90412.3526	102274.209	90412.3526	112032.348	6990.15067	0	0	0	438688	0	0	3
9	22	0	0.0893658432	86825.5268	100557.689	86825.5268	112032.348	8706.67089	0	0	0	438570	0	0	3
10	23	0	0.0992953813	83805.2538	98882.445	83805.2538	112032.348	10381.9144	0	0	0	438084	0	0	3
11	23	0	0.109224919	80503.3774	97211.6207	80503.3774	112032.348	12052.7387	0	0	0	437966	0	0	3
12	23	0	0.119154458	78436.9493	95647.0648	78436.9493	112032.348	13617.2946	0	0	0	439685	0	0	3
13	24	0	0.129083996	76316.6981	94160.1135	76316.6981	112032.348	15104.2459	0	0	0	439377	0	0	3
14	24	0	0.139013534	74380.631	92747.2933	74380.631	112032.348	16517.0661	0	0	0	439031	0	0	3
15	25	0	0.148943072	72518.8985	91398.7337	72518.8985	112032.348	17865.6258	0	0	0	440545	0	0	3
16	25	0	0.15887261	70619.2568	90100.0163	70619.2568	112032.348	19164.3431	0	0	0	442556	0	0	3
17	25	0	0.168802148	68997.3847	88858.6851	68997.3847	112032.348	20405.6743	0	0	0	443121	0	0	3
18	26	0	0.178731686	67499.8505	87672.0831	67499.8505	112032.348	21592.2763	0	0	0	444097	0	0	3
19	26	0	0.188661225	66336.9535	86549.1816	66336.9535	112032.348	22715.1778	0	0	0	444767	0	0	3
20	27	0	0.198590763	65555.6321	85499.5041	65555.6321	112032.348	23764.8553	0	0	0	444710	0	0	3
21	27	0	0.208520301	65048.3784	84525.641	65048.3784	112032.348	24738.7184	0	0	0	443597	0	0	3
22	27	0	0.218449839	64911.0078	83634.0668	64911.0078	112032.348	25630.2927	0	0	0	442366	0	0	3
23	28	0	0.228379377	64892.4568	82819.2141	64892.4568	112032.348	26445.1453	0	0	0	441725	0	0	3
24	28	0	0.238308915	64948.5783	82074.6043	64892.4568	112032.348	27189.7551	0	0	0	440975	0	0	3
25	29	0	0.248238453	65057.9282	81393.9373	64892.4568	112032.348	27870.4221	0	0	0	440249	0	0	3
26	29	0	0.258167991	65104.4229	80767.4175	64892.4568	112032.348	28496.9419	0	0	0	439544	0	0	3
27	29	0	0.26809753	65167.6156	80189.647	64892.4568	112032.348	29074.7124	0	0	0	438949	0	0	3
28	30	0	0.278027068	65210.9232	79654.6926	64892.4568	112032.348	29609.6668	0	0	0	438469	0	0	3
29	30	0	0.287956606	65205.5476	79156.4462	64892.4568	112032.348	30107.9132	0	0	0	438402	0	0	3
30	31	0	0.297886144	65119.9231	78688.5621	64892.4568	112032.348	30575.7973	0	0	0	438277	0	0	3
31	31	0	0.307815682	64791.8543	78240.2812	64791.8543	112032.348	31024.0782	0	0	0	438131	0	0	3
32	31	0	0.31774522	64431.2497	77808.749	64431.2497	112032.348	31455.6104	0	0	0	438134	0	0	3
33	32	0	0.327674758	64050.6674	77391.8374	64050.6674	112032.348	31872.522	0	0	0	438292	0	0	3
34	32	0	0.337604297	63645.3273	76987.5283	63645.3273	112032.348	32276.8311	0	0	0	438764	0	0	3
35	33	0	0.347533835	63223.0695	76594.2581	63223.0695	112032.348	32670.1013	0	0	0	440232	0	0	3
36	33	0	0.357463373	62680.0845	76207.7533	62680.0845	112032.348	33056.6062	0	0	0	441651	0	0	3
37	33	0	0.367392911	62173.7129	75828.4549	62173.7129	112032.348	33435.9045	0	0	0	442986	0	0	3
38	34	0	0.377322449	61692.2273	75456.4489	61692.2273	112032.348	33807.9105	0	0	0	444261	0	0	3
39	34	0	0.387251987	61238.0577	75091.8747	61238.0577	112032.348	34172.4847	0	0	0	445479	0	0	3
40	35	0	0.397181525	60812.0558	74734.8793	60812.0558	112032.348	34529.4801	0	0	0	446643	0	0	3
41	35	0	0.407111063	60334.9702	74383.662	60334.9702	112032.348	34880.6974	0	0	0	447780	0	0	3
42	35	0	0.417040602	59920.9492	74039.3117	59920.9492	112032.348	35225.0477	0	0	0	448874	0	0	3
43	36	0	0.42697014	59560.5844	73702.5971	59560.5844	112032.348	35561.7623	0	0	0	449911	0	0	3
44	36	0	0.436899678	59240.9252	73373.9227	59240.9252	112032.348	35890.4367	0	0	0	450891	0	0	3
45	37	0	0.446829216	58954.7386	73053.4964	58954.7386	112032.348	36210.863	0	0	0	451801	0	0	3
46	37	0	0.456758754	58698.8209	72741.4382	58698.8209	112032.348	36522.9212	0	0	0	452629	0	0	3
47	37	0	0.466688292	58469.3086	72437.7759	58469.3086	112032.348	36826.5835	0	0	0	453365	0	0	3
48	38	0	0.47661783	58260.1316	72142.4083	58260.1316	112032.348	37121.9511	0	0	0	453993	0	0	3
49	38	0	0.486547369	58066.2886	71855.1406	58066.2886	112032.348	37409.2188	0	0	0	454489	0	0	3
50	39	0	0.496476907	57885.5114	71575.748	57885.5114	112032.348	37688.6114	0	0	0	455024	0	0	3
51	39	0	0.506406445	57716.0043	71303.9883	57716.0043	112032.348	37960.3711	0	0	0	455846	0	0	3
52	39	0	0.516335983	57557.9577	70356.1945	57557.9577	112032.348	38908.1649	0	0	0	456635	0	0	3
53	40	0	0.526265521	57416.9972	69285.3053	57416.9972	109865.288	39979.0541	0	0	0	457371	0	0	3
54	40	0	0.536195059	57301.2574	68254.638	57301.2574	106059.368	40208.4736	0	0	0	458032	0	0	3
55	41	0	0.546124597	57207.107	67296.7505	57207.107	101927.869	39859.3125	0	0	0	458606	0	0	3
56	41	0	0.556054135	57133.9827	66418.439	57133.9827	97946.3984	39202.6799	0	0	0	459098	0	0	3
57	41	0	0.565983674	57057.4082	65616.6941	57057.4082	94054.6039	36997.1957	0	0	0	459496	0	0	3
58	42	0	0.575913212	56976.1973	64889.6666	56976.1973	90412.3526	33436.1553	0	0	0	459775	0	0	3
59	42	0	0.58584275	56885.4419	64232.2761	56885.4419	86825.5268	29940.0849	0	0	0	459886	0	0	3
60	43	0	0.595772288	56801.3362	63643.5665	56801.3362	83805.2538	27003.9176	0	0	0	459727	0	0	3
61	43	0	0.605701826	56716.7277	63112.419	56716.7277	80503.3774	23786.6496	0	0	0	459175	0	0	3
62	43	0	0.615631364	56631.8557	62644.3499	56631.8557	78436.9493	21805.0936	0	0	0	457932	0	0	3
