Iteration	CPUTime	PhysTime	Travels
1	5	0	0.0146961672
2	5	0	0.0293923343
3	6	0	0.0440885015
4	6	0	0.0587846687
5	6	0	0.0734808358
6	7	0	0.088177003
7	7	0	0.10287317
8	7	0	0.117569337
9	7	0	0.132265504
10	7	0	0.146961672
11	8	0	0.161657839
12	8	0	0.176354006
13	8	0	0.191050173
14	8	0	0.20574634
15	8	0	0.220442507
16	8	0	0.235138675
17	9	0	0.249834842
18	9	0	0.264531009
19	9	0	0.279227176
20	9	0	0.293923343
21	9	0	0.30861951
22	10	0	0.323315678
23	10	0	0.338011845
24	10	0	0.352708012
25	10	0	0.367404179
26	10	0	0.382100346
27	10	0	0.396796513
28	11	0	0.411492681
29	11	0	0.426188848
30	11	0	0.440885015
31	11	0	0.455581182
32	11	0	0.470277349
33	11	0	0.484973516
34	12	0	0.499669684
35	12	0	0.514365851
36	12	0	0.529062018
37	12	0	0.543758185
38	12	0	0.558454352
39	12	0	0.573150519
40	13	0	0.587846687
41	13	0	0.602542854
42	13	0	0.617239021
43	13	0	0.631935188
44	13	0	0.646631355
45	13	0	0.661327522
46	14	0	0.67602369
47	14	0	0.690719857
48	14	0	0.705416024
49	14	0	0.720112191
50	14	0	0.734808358
51	14	0	0.749504525
52	15	0	0.764200692
53	15	0	0.77889686
54	15	0	0.793593027
55	15	0	0.808289194
56	15	0	0.822985361
57	15	0	0.837681528
58	16	0	0.852377695
59	16	0	0.867073863
60	16	0	0.88177003
61	16	0	0.896466197
62	16	0	0.911162364
63	16	0	0.925858531
64	17	0	0.940554698
65	17	0	0.955250866
66	17	0	0.969947033
67	17	0	0.9846432
68	17	0	0.999339367
69	17	0	1.01403553
70	18	0	1.0287317
71	18	0	1.04342787
72	18	0	1.05812404
73	18	0	1.0728202
74	19	0	1.08751637
75	19	0	1.10221254
76	19	0	1.1169087
77	19	0	1.13160487
78	19	0	1.14630104
79	20	0	1.16099721
80	20	0	1.17569337
81	20	0	1.19038954
82	20	0	1.20508571
83	20	0	1.21978187
84	21	0	1.23447804
85	21	0	1.24917421
86	21	0	1.26387038
87	21	0	1.27856654
88	22	0	1.29326271
89	22	0	1.30795888
90	22	0	1.32265504
91	22	0	1.33735121
92	22	0	1.35204738
93	23	0	1.36674355
94	23	0	1.38143971
95	23	0	1.39613588
96	23	0	1.41083205
97	24	0	1.42552821
98	24	0	1.44022438
99	24	0	1.45492055
100	24	0	1.46961672
101	24	0	1.48431288
102	25	0	1.49900905
103	25	0	1.51370522
104	25	0	1.52840138
105	25	0	1.54309755
106	26	0	1.55779372
107	26	0	1.57248989
108	26	0	1.58718605
109	26	0	1.60188222
110	26	0	1.61657839
111	27	0	1.63127456
112	27	0	1.64597072
113	27	0	1.66066689
114	27	0	1.67536306
115	28	0	1.69005922
116	28	0	1.70475539
117	28	0	1.71945156
118	28	0	1.73414773
119	28	0	1.74884389
120	29	0	1.76354006
121	29	0	1.77823623
122	29	0	1.79293239
123	29	0	1.80762856
124	30	0	1.82232473
125	30	0	1.8370209
126	30	0	1.85171706
127	30	0	1.86641323
128	30	0	1.8811094
129	31	0	1.89580556
130	31	0	1.91050173
131	31	0	1.9251979
132	31	0	1.93989407
133	32	0	1.95459023
134	32	0	1.9692864
135	32	0	1.98398257
136	32	0	1.99867873
137	32	0	2.0133749
138	33	0	2.02807107
139	33	0	2.04276724
140	33	0	2.0574634
141	33	0	2.07215957
142	34	0	2.08685574
143	34	0	2.1015519
144	34	0	2.11624807
145	34	0	2.13094424
146	34	0	2.14564041
147	35	0	2.16033657
148	35	0	2.17503274
149	35	0	2.18972891
150	35	0	2.20442507
151	36	0	2.21912124
152	36	0	2.23381741
153	36	0	2.24851358
154	36	0	2.26320974
155	36	0	2.27790591
156	37	0	2.29260208
157	37	0	2.30729824
158	37	0	2.32199441
159	37	0	2.33669058
160	37	0	2.35138675
161	38	0	2.36608291
162	38	0	2.38077908
163	38	0	2.39547525
164	38	0	2.41017141
165	39	0	2.42486758
166	39	0	2.43956375
167	39	0	2.45425992
168	39	0	2.46895608
169	39	0	2.48365225
170	40	0	2.49834842
171	40	0	2.51304458
172	40	0	2.52774075
173	40	0	2.54243692
174	40	0	2.55713309
175	41	0	2.57182925
176	41	0	2.58652542
177	41	0	2.60122159
178	41	0	2.61591776
179	42	0	2.63061392
180	42	0	2.64531009
181	42	0	2.66000626
182	42	0	2.67470242
183	42	0	2.68939859
184	43	0	2.70409476
185	43	0	2.71879093
186	43	0	2.73348709
187	43	0	2.74818326
188	44	0	2.76287943
189	44	0	2.77757559
190	44	0	2.79227176
191	44	0	2.80696793
192	44	0	2.8216641
193	45	0	2.83636026
194	45	0	2.85105643
195	45	0	2.8657526
196	45	0	2.88044876
197	46	0	2.89514493
198	46	0	2.9098411
199	46	0	2.92453727
200	46	0	2.93923343
201	46	0	2.9539296
202	47	0	2.96862577
203	47	0	2.98332193
204	47	0	2.9980181
205	47	0	3.01271427
206	48	0	3.02741044
207	48	0	3.0421066
208	48	0	3.05680277
209	48	0	3.07149894
210	48	0	3.0861951
211	49	0	3.10089127
212	49	0	3.11558744
213	49	0	3.13028361
214	49	0	3.14497977
215	50	0	3.15967594
216	50	0	3.17437211
217	50	0	3.18906827
218	50	0	3.20376444
219	50	0	3.21846061
220	51	0	3.23315678
221	51	0	3.24785294
222	51	0	3.26254911
223	51	0	3.27724528
224	52	0	3.29194144
225	52	0	3.30663761
226	52	0	3.32133378
227	52	0	3.33602995
228	52	0	3.35072611
229	53	0	3.36542228
230	53	0	3.38011845
231	53	0	3.39481461
232	53	0	3.40951078
233	54	0	3.42420695
234	54	0	3.43890312
235	54	0	3.45359928
236	54	0	3.46829545
237	54	0	3.48299162
238	55	0	3.49768778
239	55	0	3.51238395
240	55	0	3.52708012
241	55	0	3.54177629
242	55	0	3.55647245
243	56	0	3.57116862
244	56	0	3.58586479
245	56	0	3.60056095
246	56	0	3.61525712
247	57	0	3.62995329
248	57	0	3.64464946
249	57	0	3.65934562
250	57	0	3.67404179
251	58	0	3.68873796
252	58	0	3.70343413
253	58	0	3.71813029
254	58	0	3.73282646
255	59	0	3.74752263
256	59	0	3.76221879
257	59	0	3.77691496
258	59	0	3.79161113
259	60	0	3.8063073
260	60	0	3.82100346
